#SALTICAM filter transmission data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#compiled from spreadsheets provided by David Buckley,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#compiled by Amanda Gulbis
#,SLOAN,,,,,STROEMGREN,,,,,,,,,Bessell,,,,,,,Hbeta wide (Custom Scientific),,UV,,,H-alpha,
Wavelength(nm),SDSS_up,SDSS_gp,SDSS_rp,SDSS_ip,SDSS_zp,Stromgren_u,Stromgren_v,Stromgren_b,Stromgren_y,Hbeta_wide,SRE_1,SRE_2,SRE_3,SRE_4,CLR-S1,U-S1,B-S1,V-S1,R-S1,I-S1,ND,Wavelength,Hbeta_narrow,Wavelength,340-35,380-40,Wavelength,Halpha-S1
221,-0.0002,-0.0011,0.0001,-0.0008,-0.0004,-0.00271, , , , , , , , , , , , , , , ,479.2,3.84E-03,342,6.76E+01,1.52E-02,308.4,0.000411966
221.5,-0.0004,-0.0008,0.0001,-0.0015,0,-0.0036, , , , , , , , , , , , , , , ,479.3,3.62E-03,343,6.77E+01,1.88E-02,308.6,-4.11E-05
222,-0.0011,-0.0002,-0.0013,-0.0023,-0.0014,-0.00485, , , , , , , , , , , , , , , ,479.4,4.29E-03,344,6.76E+01,2.40E-02,308.8,5.37E-05
222.5,-0.0005,-0.0006,-0.0001,-0.001,-0.0013,-0.0061, , , , , , , , , , , , , , , ,479.5,4.27E-03,345,6.75E+01,3.23E-02,309,0.000139449
223,-0.0004,0.0006,-0.0008,-0.001,0,-0.00617, , , , , , , , , , , , , , , ,479.6,4.91E-03,346,6.72E+01,4.31E-02,309.2,0.000267847
223.5,0.0002,-0.0005,0.0008,0.001,-0.0007,-0.00786, , , , , , , , , , , , , , , ,479.7,5.23E-03,347,6.67E+01,5.64E-02,309.4,-0.000206392
224,0.0006,0.0003,0.0004,-0.0007,0.0011,-0.00833, , , , , , , , , , , , , , , ,479.8,5.38E-03,348,6.65E+01,7.80E-02,309.6,-0.00013668
224.5,0.0003,-0.0002,-0.0005,-0.0001,-0.0008,-0.00728, , , , , , , , , , , , , , , ,479.9,6.30E-03,349,6.60E+01,1.09E-01,309.8,-0.000334079
225,-0.0012,-0.0012,-0.0016,-0.0001,0.0002,-0.00641, , , , , , , , , , , , , , , ,480,6.48E-03,350,6.56E+01,1.54E-01,310,0.000585724
225.5,-0.0007,-0.001,-0.0005,0.0003,-0.0005,-0.00488, , , , , , , , , , , , , , , ,480.1,7.14E-03,351,6.53E+01,2.24E-01,310.2,-0.000369672
226,-0.0013,-0.0005,-0.0006,-0.0002,-0.0014,-0.00458, , , , , , , , , , , , , , , ,480.2,8.38E-03,352,6.44E+01,3.33E-01,310.4,0.000248112
226.5,-0.0004,0.0001,0.0011,-0.0001,0.0005,-0.00455, , , , , , , , , , , , , , , ,480.3,9.17E-03,353,6.31E+01,5.06E-01,310.6,0.000138614
227,0,0,0.0003,0.0009,-0.0002,-0.00521, , , , , , , , , , , , , , , ,480.4,9.25E-03,354,6.10E+01,7.89E-01,310.8,7.54E-05
227.5,-0.0008,0.0002,-0.0003,0.0008,-0.0019,-0.00478, , , , , , , , , , , , , , , ,480.5,1.04E-02,355,5.70E+01,1.23E+00,311,0.000100697
228,0.0008,-0.0002,-0.0004,-0.0011,-0.0004,-0.00463, , , , , , , , , , , , , , , ,480.6,1.17E-02,356,5.13E+01,2.00E+00,311.2,0.000190107
228.5,-0.0017,-0.0018,-0.0003,-0.0006,0.0002,-0.00349, , , , , , , , , , , , , , , ,480.7,1.29E-02,357,4.42E+01,3.36E+00,311.4,7.29E-05
229,-0.0004,-0.0013,0.0005,-0.0025,-0.0012,-0.00296, , , , , , , , , , , , , , , ,480.8,1.42E-02,358,3.55E+01,5.74E+00,311.6,4.22E-05
229.5,-0.0004,0,-0.0006,-0.0013,-0.0015,-0.00302, , , , , , , , , , , , , , , ,480.9,1.53E-02,359,2.71E+01,9.99E+00,311.8,7.10E-05
230,-0.001,-0.0013,0.001,-0.0007,-0.0012,-0.0032, , , , , , , , , , , , , , , ,481,1.73E-02,360,1.98E+01,1.73E+01,312,0.000248653
230.5,0.0003,-0.0009,0.0005,0,0.0008,-0.00327, , , , , , , , , , , , , , , ,481.1,1.99E-02,361,1.38E+01,2.85E+01,312.2,0.000161307
231,-0.0008,-0.0004,-0.0017,0.0001,0.0005,-0.00338, , , , , , , , , , , , , , , ,481.2,2.14E-02,362,9.56E+00,4.35E+01,312.4,0.000109267
231.5,-0.0005,-0.0006,0.0003,0.0001,-0.0002,-0.00309, , , , , , , , , , , , , , , ,481.3,2.33E-02,363,6.53E+00,5.74E+01,312.6,6.47E-05
232,-0.0006,-0.0021,-0.0002,-0.0009,-0.0004,-0.00303, , , , , , , , , , , , , , , ,481.4,2.65E-02,364,4.47E+00,6.72E+01,312.8,1.37E-05
232.5,0.0003,-0.0005,-0.0004,-0.0001,-0.0001,-0.00165, , , , , , , , , , , , , , , ,481.5,2.94E-02,365,3.11E+00,7.17E+01,313,-7.22E-06
233,-0.0009,-0.0002,-0.0003,0.0002,-0.0018,-0.00121, , , , , , , , , , , , , , , ,481.6,3.27E-02,366,2.14E+00,7.29E+01,313.2,0.000102168
233.5,-0.0008,-0.0006,-0.0011,-0.0005,-0.001,-0.00049, , , , , , , , , , , , , , , ,481.7,3.69E-02,367,1.51E+00,7.29E+01,313.4,0.000100657
234,-0.0003,-0.0013,0,-0.0013,-0.0018,8.00E-05, , , , , , , , , , , , , , , ,481.8,4.22E-02,368,1.08E+00,7.28E+01,313.6,-9.19E-06
